"","x"
"1","Red"
"2","Doritos"
"3","Kettle"
"4","RRD"
"5","Infuzions"
"6","Smiths"
"7","Smiths"
"8","GrnWves"
"9","Tyrrells"
"10","Twisties"
"11","Doritos"
"12","Doritos"
"13","Doritos"
"14","Cobs"
"15","Infzns"
"16","Pringles"
"17","Smiths"
"18","Doritos"
"19","Grain"
"20","Pringles"
"21","Kettle"
"22","Natural"
"23","Infuzions"
"24","RRD"
"25","Pringles"
"26","Kettle"
"27","Smiths"
"28","Doritos"
"29","Cheezels"
"30","Twisties"
"31","Red"
"32","Infuzions"
"33","Pringles"
"34","Pringles"
"35","Smiths"
"36","Burger"
"37","RRD"
"38","WOOLWORTHS"
"39","Smiths"
"40","Sunbites"
"41","WOOLWORTHS"
"42","Doritos"
"43","Thins"
"44","Kettle"
"45","RRD"
"46","Doritos"
"47","Natural"
"48","Kettle"
"49","Kettle"
"50","Infuzions"
"51","RRD"
"52","Smiths"
"53","Infzns"
"54","Kettle"
"55","Kettle"
"56","Pringles"
"57","Tostitos"
"58","Sunbites"
"59","Doritos"
"60","Red"
"61","Kettle"
"62","Twisties"
"63","GrnWves"
"64","Thins"
"65","RRD"
"66","Tyrrells"
"67","Cobs"
"68","Red"
"69","Kettle"
"70","Kettle"
"71","WOOLWORTHS"
"72","Doritos"
"73","Smiths"
"74","Smiths"
"75","WOOLWORTHS"
"76","Pringles"
"77","Tyrrells"
"78","Kettle"
"79","Pringles"
"80","RRD"
"81","Smiths"
"82","Cobs"
"83","Doritos"
"84","Smiths"
"85","Pringles"
"86","Tostitos"
"87","Pringles"
"88","Dorito"
"89","Red"
"90","Smiths"
"91","Smiths"
"92","Dorito"
"93","WOOLWORTHS"
"94","Kettle"
"95","Grain"
"96","Kettle"
"97","WOOLWORTHS"
"98","Doritos"
"99","Smiths"
"100","Cobs"
"101","Tostitos"
"102","Smiths"
"103","Kettle"
"104","Kettle"
"105","Kettle"
"106","RRD"
"107","Smiths"
"108","Smith"
"109","Infzns"
"110","Smiths"
"111","Doritos"
"112","Smiths"
"113","WOOLWORTHS"
"114","Kettle"
"115","Doritos"
"116","Tyrrells"
"117","Smiths"
"118","Red"
"119","Kettle"
"120","Tyrrells"
"121","Burger"
"122","Infuzions"
"123","WOOLWORTHS"
"124","Natural"
"125","Smiths"
"126","WOOLWORTHS"
"127","Dorito"
"128","Smiths"
"129","Grain"
"130","Kettle"
"131","Kettle"
"132","Pringles"
"133","Kettle"
"134","Thins"
"135","Smiths"
"136","Twisties"
"137","Smith"
"138","Smiths"
"139","Dorito"
"140","Red"
"141","Tostitos"
"142","Natural"
"143","Pringles"
"144","Doritos"
"145","Red"
"146","Twisties"
"147","Thins"
"148","Kettle"
"149","Cheezels"
"150","Doritos"
"151","Pringles"
"152","Pringles"
"153","Dorito"
"154","Twisties"
"155","Pringles"
"156","Doritos"
"157","Smiths"
"158","Kettle"
"159","Thins"
"160","Dorito"
