"","x"
"1",165
"2",170
"3",150
"4",150
"5",330
"6",175
"7",200
"8",170
"9",110
"10",170
"11",175
"12",250
"13",150
"14",150
"15",175
"16",150
"17",175
"18",330
"19",175
"20",175
"21",110
"22",110
"23",134
"24",175
"25",110
"26",150
"27",150
"28",220
"29",175
"30",330
"31",150
"32",270
"33",110
"34",134
"35",200
"36",330
"37",330
"38",210
"39",110
"40",175
"41",150
"42",134
"43",175
"44",175
"45",110
"46",170
"47",134
"48",110
"49",175
"50",150
"51",150
"52",330
"53",175
"54",150
"55",150
"56",134
"57",110
"58",134
"59",134
"60",380
"61",170
"62",175
"63",134
"64",175
"65",380
"66",330
"67",110
"68",175
"69",210
"70",330
"71",210
"72",135
"73",170
"74",150
"75",134
"76",330
"77",165
"78",175
"79",175
"80",170
"81",175
"82",175
"83",165
"84",150
"85",165
"86",270
"87",175
"88",175
"89",134
"90",150
"91",330
"92",175
"93",175
"94",250
"95",175
"96",150
"97",175
"98",150
"99",110
"100",175
"101",175
"102",150
"103",175
"104",170
"105",175
"106",380
"107",170
"108",175
"109",210
"110",150
"111",134
"112",170
"113",150
"114",175
"115",134
"116",175
"117",210
"118",150
"119",150
"120",250
"121",134
"122",150
"123",175
"124",150
"125",175
"126",170
"127",150
"128",330
"129",110
"130",175
"131",150
"132",170
"133",150
"134",170
"135",134
"136",175
"137",110
"138",175
"139",134
"140",110
"141",175
"142",170
"143",134
"144",150
"145",270
"146",134
"147",150
"148",175
"149",175
"150",175
"151",175
"152",170
"153",175
"154",330
"155",110
"156",175
"157",134
"158",160
"159",175
"160",175
"161",330
"162",330
"163",110
"164",270
"165",150
"166",90
"167",165
"168",150
"169",150
"170",134
"171",150
"172",150
"173",175
"174",175
"175",175
"176",380
"177",190
"178",150
"179",175
"180",134
"181",165
"182",165
"183",175
"184",150
"185",150
"186",175
"187",110
"188",150
"189",175
"190",134
"191",175
"192",165
"193",165
"194",170
"195",175
"196",210
"197",270
"198",175
"199",175
"200",170
"201",165
"202",110
"203",70
"204",175
"205",175
"206",175
"207",175
"208",175
"209",165
"210",175
"211",270
"212",165
"213",175
"214",175
"215",175
"216",70
"217",170
"218",175
"219",175
"220",175
"221",175
"222",170
"223",134
"224",270
"225",134
"226",110
"227",175
"228",165
"229",170
"230",150
"231",134
"232",175
"233",330
"234",150
"235",134
"236",270
"237",175
"238",110
"239",210
"240",150
"241",165
"242",175
"243",380
"244",250
"245",330
"246",110
"247",175
"248",150
"249",110
"250",150
"251",380
"252",165
"253",175
"254",110
"255",134
"256",134
"257",134
"258",175
"259",175
"260",175
"261",330
"262",150
"263",380
"264",210
"265",110
"266",134
"267",110
"268",175
"269",150
"270",170
"271",165
"272",170
"273",134
"274",175
"275",250
"276",330
"277",175
"278",110
"279",380
"280",175
"281",175
"282",135
"283",175
"284",330
"285",380
"286",175
"287",175
"288",175
"289",110
"290",134
"291",170
"292",175
"293",170
"294",175
"295",110
"296",170
"297",175
"298",175
"299",175
"300",135
"301",110
"302",175
"303",165
"304",175
"305",175
"306",170
"307",170
"308",150
"309",270
"310",380
"311",175
"312",134
"313",134
"314",175
"315",170
"316",110
"317",175
"318",110
"319",170
"320",134
"321",175
"322",150
"323",330
"324",175
"325",175
"326",175
"327",175
"328",170
"329",175
"330",150
"331",175
"332",210
"333",175
"334",175
"335",150
"336",170
"337",175
"338",210
"339",110
"340",175
"341",175
"342",330
"343",134
"344",330
"345",270
"346",134
"347",170
"348",175
"349",175
"350",134
"351",330
"352",175
"353",175
"354",175
"355",170
"356",170
"357",175
"358",110
"359",135
"360",220
"361",170
"362",150
"363",175
"364",175
"365",150
"366",170
"367",170
"368",270
"369",150
"370",150
"371",134
"372",160
"373",134
"374",150
"375",175
"376",175
"377",150
"378",220
"379",150
"380",150
"381",150
"382",150
"383",175
"384",150
"385",110
"386",175
"387",175
"388",134
"389",175
"390",150
"391",175
"392",135
"393",190
"394",175
"395",170
"396",175
"397",380
"398",150
"399",170
"400",150
"401",175
"402",175
"403",270
"404",175
"405",270
"406",175
"407",170
"408",90
"409",250
"410",170
"411",175
"412",175
"413",150
"414",134
"415",135
"416",330
"417",175
"418",270
"419",175
"420",110
"421",175
"422",330
"423",165
"424",150
"425",134
"426",330
"427",110
"428",250
"429",175
"430",175
"431",175
"432",175
"433",134
"434",135
"435",150
"436",134
"437",150
"438",250
"439",175
"440",110
"441",134
"442",270
"443",134
"444",210
"445",134
"446",270
"447",170
"448",110
"449",330
"450",134
"451",110
"452",175
"453",330
"454",150
"455",110
"456",150
"457",175
"458",250
"459",175
"460",175
"461",175
"462",134
"463",90
"464",330
"465",175
"466",70
"467",150
"468",175
"469",175
"470",165
"471",110
"472",165
"473",70
"474",150
"475",150
"476",134
"477",110
"478",175
"479",175
"480",175
"481",135
"482",134
"483",110
"484",150
"485",125
"486",150
"487",170
"488",175
"489",190
"490",175
"491",150
"492",210
"493",175
"494",170
"495",70
"496",200
"497",190
"498",150
"499",175
"500",200
"501",210
"502",175
"503",134
"504",175
"505",210
"506",175
"507",210
"508",170
"509",175
"510",170
"511",200
"512",150
"513",150
"514",150
"515",110
"516",175
"517",170
"518",220
"519",134
"520",175
"521",150
"522",175
"523",134
"524",150
"525",175
"526",134
"527",170
"528",175
"529",270
"530",175
"531",175
"532",170
"533",175
"534",175
"535",330
"536",170
"537",380
"538",150
"539",170
"540",200
"541",380
"542",170
"543",380
"544",200
"545",175
"546",175
"547",134
"548",150
"549",165
"550",134
"551",110
"552",170
"553",175
"554",150
"555",175
"556",175
"557",165
"558",150
"559",175
"560",170
"561",175
"562",165
"563",134
"564",135
"565",150
"566",190
"567",165
"568",135
"569",165
"570",175
"571",190
"572",150
"573",175
"574",175
"575",150
"576",134
"577",330
"578",175
"579",150
"580",175
"581",175
"582",110
"583",150
"584",150
"585",160
"586",200
"587",150
"588",175
"589",150
"590",150
"591",110
"592",110
"593",330
"594",134
"595",175
"596",175
"597",110
"598",150
"599",175
"600",250
"601",165
"602",150
"603",175
"604",170
"605",165
"606",210
"607",150
"608",134
"609",134
"610",134
"611",150
"612",175
"613",135
"614",110
"615",110
"616",330
"617",134
"618",175
"619",150
"620",170
"621",150
"622",134
"623",150
"624",175
"625",380
"626",165
"627",330
"628",165
"629",330
"630",175
"631",150
"632",330
"633",175
"634",134
"635",165
"636",175
"637",150
"638",330
"639",175
"640",150
"641",134
"642",134
"643",175
"644",150
"645",165
"646",250
"647",175
"648",175
"649",175
"650",150
"651",380
"652",380
"653",250
"654",175
"655",110
"656",150
"657",175
"658",175
"659",380
"660",150
"661",175
"662",110
"663",134
"664",210
"665",380
"666",175
"667",250
"668",135
"669",175
"670",250
"671",110
"672",330
"673",175
"674",175
"675",175
"676",210
"677",110
"678",170
"679",175
"680",165
"681",210
"682",150
"683",330
"684",165
"685",165
"686",110
"687",165
"688",175
"689",330
"690",175
"691",170
"692",110
"693",134
"694",270
"695",110
"696",175
"697",170
"698",150
"699",110
"700",270
"701",110
"702",330
"703",270
"704",330
"705",330
"706",134
"707",134
"708",175
"709",134
"710",380
"711",330
"712",170
"713",380
"714",150
"715",175
